STATISTIC CODE,Statistic,TLIST(A1),Year,LGD2014,Local Government District,VALUE
ART,ambulance-response-time-median,2016,2016,N09000002,"Armagh City, Banbridge and Craigavon",664
ART,ambulance-response-time-median,2016,2016,N09000003,Belfast,498
ART,ambulance-response-time-median,2016,2016,N09000004,Causeway Coast and Glens,754
ART,ambulance-response-time-median,2016,2016,N09000005,Derry City and Strabane,458
ART,ambulance-response-time-median,2016,2016,N09000006,Fermanagh and Omagh,481
ART,ambulance-response-time-median,2016,2016,N09000007,Lisburn and Castlereagh,596
ART,ambulance-response-time-median,2016,2016,N09000008,Mid and East Antrim,723
ART,ambulance-response-time-median,2016,2016,N09000009,Mid Ulster,798
ART,ambulance-response-time-median,2016,2016,N09000010,"Newry, Mourne and Down",784
ART,ambulance-response-time-median,2016,2016,N09000011,Ards and North Down,660
ART,ambulance-response-time-median,2016,2016,N92000002,NI,597
ART,ambulance-response-time-median,2017,2017,N09000001,Antrim and Newtownabbey,626
ART,ambulance-response-time-median,2017,2017,N09000002,"Armagh City, Banbridge and Craigavon",729
ART,ambulance-response-time-median,2017,2017,N09000003,Belfast,532
ART,ambulance-response-time-median,2017,2017,N09000004,Causeway Coast and Glens,676
ART,ambulance-response-time-median,2017,2017,N09000005,Derry City and Strabane,502
ART,ambulance-response-time-median,2017,2017,N09000006,Fermanagh and Omagh,644
ART,ambulance-response-time-median,2017,2017,N09000007,Lisburn and Castlereagh,647
ART,ambulance-response-time-median,2017,2017,N09000008,Mid and East Antrim,777
ART,ambulance-response-time-median,2017,2017,N09000009,Mid Ulster,907
ART,ambulance-response-time-median,2017,2017,N09000010,"Newry, Mourne and Down",865
ART,ambulance-response-time-median,2017,2017,N09000011,Ards and North Down,658
ART,ambulance-response-time-median,2017,2017,N92000002,NI,636
ART,ambulance-response-time-median,2018,2018,N09000001,Antrim and Newtownabbey,938
ART,ambulance-response-time-median,2018,2018,N09000002,"Armagh City, Banbridge and Craigavon",797
ART,ambulance-response-time-median,2018,2018,N09000003,Belfast,660
ART,ambulance-response-time-median,2018,2018,N09000004,Causeway Coast and Glens,1007
ART,ambulance-response-time-median,2018,2018,N09000005,Derry City and Strabane,606
ART,ambulance-response-time-median,2018,2018,N09000006,Fermanagh and Omagh,752
ART,ambulance-response-time-median,2018,2018,N09000007,Lisburn and Castlereagh,829
ART,ambulance-response-time-median,2018,2018,N09000008,Mid and East Antrim,1091
ART,ambulance-response-time-median,2018,2018,N09000009,Mid Ulster,1041
ART,ambulance-response-time-median,2018,2018,N09000010,"Newry, Mourne and Down",970
ART,ambulance-response-time-median,2018,2018,N09000011,Ards and North Down,961
ART,ambulance-response-time-median,2018,2018,N92000002,NI,816
ART,ambulance-response-time-median,2019,2019,N09000001,Antrim and Newtownabbey,926
ART,ambulance-response-time-median,2019,2019,N09000002,"Armagh City, Banbridge and Craigavon",1130
ART,ambulance-response-time-median,2019,2019,N09000003,Belfast,745
ART,ambulance-response-time-median,2019,2019,N09000004,Causeway Coast and Glens,981
ART,ambulance-response-time-median,2019,2019,N09000005,Derry City and Strabane,628
ART,ambulance-response-time-median,2019,2019,N09000006,Fermanagh and Omagh,881
ART,ambulance-response-time-median,2019,2019,N09000007,Lisburn and Castlereagh,1016
ART,ambulance-response-time-median,2019,2019,N09000008,Mid and East Antrim,1090
ART,ambulance-response-time-median,2019,2019,N09000009,Mid Ulster,1145
ART,ambulance-response-time-median,2019,2019,N09000010,"Newry, Mourne and Down",1248
ART,ambulance-response-time-median,2019,2019,N09000011,Ards and North Down,1024
ART,ambulance-response-time-median,2019,2019,N92000002,NI,936
ART,ambulance-response-time-median,2020,2020,N09000001,Antrim and Newtownabbey,1065
ART,ambulance-response-time-median,2020,2020,N09000002,"Armagh City, Banbridge and Craigavon",996
ART,ambulance-response-time-median,2020,2020,N09000003,Belfast,846
ART,ambulance-response-time-median,2020,2020,N09000004,Causeway Coast and Glens,1061
ART,ambulance-response-time-median,2020,2020,N09000005,Derry City and Strabane,778
ART,ambulance-response-time-median,2020,2020,N09000006,Fermanagh and Omagh,1022
ART,ambulance-response-time-median,2020,2020,N09000007,Lisburn and Castlereagh,1155
ART,ambulance-response-time-median,2020,2020,N09000008,Mid and East Antrim,1073
ART,ambulance-response-time-median,2020,2020,N09000009,Mid Ulster,1220
ART,ambulance-response-time-median,2020,2020,N09000010,"Newry, Mourne and Down",1587
ART,ambulance-response-time-median,2020,2020,N09000011,Ards and North Down,1213
ART,ambulance-response-time-median,2020,2020,N92000002,NI,1034
ART,ambulance-response-time-median,2021,2021,N09000001,Antrim and Newtownabbey,1354
ART,ambulance-response-time-median,2021,2021,N09000002,"Armagh City, Banbridge and Craigavon",1639
ART,ambulance-response-time-median,2021,2021,N09000003,Belfast,1338
ART,ambulance-response-time-median,2021,2021,N09000004,Causeway Coast and Glens,1393
ART,ambulance-response-time-median,2021,2021,N09000005,Derry City and Strabane,825
ART,ambulance-response-time-median,2021,2021,N09000006,Fermanagh and Omagh,1165
ART,ambulance-response-time-median,2021,2021,N09000007,Lisburn and Castlereagh,1872
ART,ambulance-response-time-median,2021,2021,N09000008,Mid and East Antrim,1727
ART,ambulance-response-time-median,2021,2021,N09000009,Mid Ulster,1624
ART,ambulance-response-time-median,2021,2021,N09000010,"Newry, Mourne and Down",2244
ART,ambulance-response-time-median,2021,2021,N09000011,Ards and North Down,1790
ART,ambulance-response-time-median,2021,2021,N92000002,NI,1477
